"id","name","gender","age","type","country","genres","spotifyId","popularity","followers"
"6464802","Clarice Falcão","female","30","person","BR","['brazilian rock', 'mpb', 'nova mpb']","1wFTlPjO7zRtvylmu5pm1d",51,751174
"6025233","The Prodigy","mixed","30","group","GB","['big beat', 'breakbeat', 'hardcore techno', 'rave']","4k1ELeJKT1ISyDv8JivPpB",64,2095446
"788298","Fujifabric","mixed","20","group","JP","['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock']","2QgdUzpKFNxey5IuwvsGBL",50,294152
"1520009","Ellie Drennan","female","21","person","AU","['australian pop']","15xcqj9BY2ZBoJujwF91CQ",17,4258
"6386930","Kacper Blonsky","male","34","person","PL","[]","1KoIf5DUkzaITPCCKAhgKe",44,102116
"273344","Sverrir Bergmann","male","39","person","IS","['classic icelandic pop', 'icelandic pop']","6vZQqLEETz3r5dQFKnatlp",32,3633
"4013520","Kapasiteettiyksikkö","mixed","22","group","FI","['finnish dance pop', 'finnish hip hop', 'finnish pop']","1528laR5p1e468jJCwCkoZ",32,13301
"1314212","Axel Caram","female","61","person","BR","['cumbia pop']","2PkjYgKhHI4qofYoxWB9ZP",51,169483
"1617838","Farina","female","33","person","CO","['colombian pop', 'rap latina', 'reggaeton colombiano', 'trap latino']","7cYik4OyfBXYV5Z2TI7p90",59,359323
"5664803","Ado Kojo","male","36","person","DE","[]","2LksNa26XRNClPquh3cFfV",37,13980
"4210789","JoJo","female","29","person","US","['dance pop', 'electropop', 'hip pop', 'pop', 'pop dance', 'pop r&b', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']","5xuNBZoM7z1Vv8IQ6uM0p6",62,2188562
"3449826","Grizzlee","male","36","person","PL","['polish reggae']","0NiIlOoQCQPrri3Mnzb41D",35,3579
"1354392","Raymond Van Het Groenewoud","male","70","person","BE","['belgian rock', 'classic belgian pop', 'dutch rock', 'kleinkunst']","535vUcywQfuPaygBIDziaY",38,31450
"1778325","Michel Legrand","male","86","person","FR","['chanson', 'classic soundtrack', 'french jazz', 'french soundtrack']","1EtE0iSY6iFlN9L9c53ETy",43,45305
"2772237","Simone Cristicchi","male","43","person","IT","['classic italian pop', 'gospel italiano', 'italian adult pop']","0sqq7uB8agn7oT15sssKRz",33,76523
"4556080","Dillon Cooper","male","27","person","US","[]","3N4cYzn6HQGkiGCVwdZNPd",36,34468
"2284423","Scarface","male","49","person","","['conscious hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']","19KwjzvIL92r29IINtlPNP",56,789512
"723575","Anna Tatangelo","female","33","person","IT","['classic italian pop', 'italian adult pop']","2TtebnfWKMq7LCi2A9BlU4",41,151501
"3205121","Meiju Suvas","female","61","person","FI","['classic finnish pop', 'classic iskelma', 'finnish pop', 'iskelma']","5SOucuuLuSueOSFgrxqWsX",38,7336
"2641759","Flower","mixed","7","group","JP","['j-idol', 'j-pop']","0VPLGnexd8K6BGbpLiPPVj",44,268230
"82034","Don McLean","male","74","person","US","['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'traditional folk']","1gRNBaI4yn6wCCTvRhGWh8",63,790425
"3450896","Kelela","female","37","person","US","['afrofuturism', 'alternative r&b', 'art pop', 'dance pop', 'electropop', 'escape room', 'indie soul', 'pop']","1U0sIzpRtDkvu1hXXzxh60",47,277549
"701135","Danny Brown","male","39","person","US","['alternative hip hop', 'detroit hip hop', 'escape room', 'hip hop', 'rap', 'underground hip hop']","7aA592KWirLsnfb5ulGWvU",59,710259
"6652382","Jorge Drexler","male","55","person","UY","['cantautor', 'latin afrobeat', 'latin alternative', 'latin rock', 'nueva cancion', 'rock en espanol']","4ssUf5gLb1GBLxi1BhPrVt",64,712325
"4964965","Majk Spirit","male","35","person","SK","['czsk hip hop', 'slovak hip hop', 'slovak pop']","4gvBx2BxCJcy3Ysiih8AAG",46,118244
"2362306","Drangsal","male","26","person","DE","['german indie', 'german rock']","16rfiZrUbpoIJKqvJjbOk1",41,37863
"3245684","Dev Negi","male","31","person","","['desi pop', 'filmi', 'modern bollywood']","04FsFHujpuqonrPXZrEJlK",63,531518
"5632342","Américo","male","42","person","CL","['chilean rock', 'cumbia chilena']","6eUAVH8tSq8WSJGPLeDN9c",54,285560
"4225936","Die Ärzte","mixed","38","group","DE","['german alternative rock', 'german pop', 'german punk', 'german rock']","0cbL6CYnRqpAxf1evwUVQD",65,873480
"583835","Trijntje Oosterhuis","female","47","person","NL","['dutch pop', 'dutch rock']","7nJtdgCxkhZFvFMPTsHavb",45,73400
"5500994","Cesar Sampson","male","37","person","AT","['eurovision']","3U4YeD9p381pXkebifD865",26,6094
"3740516","Banda do Mar","mixed","6","group","BR","['nova mpb']","1Gu3ALcPEx3FFGAfAbqQvD",46,489102
"400850","John Travolta","male","66","person","US","['hollywood']","4hKkEHkaqCsyxNxXEsszVH",66,96020
"3078328","Maria Jose Quintanilla","female","30","person","CL","['cumbia ranchera', 'pop chileno']","13N9NShchIr3m8hgyVqrRg",44,131270
"1997305","andreas odbjerg","male","55","person","DE","['danish pop', 'scandinavian r&b']","6aHaYKL09sA8L260zXNlVR",58,37240
"1505351","Fatin Husna","female","24","person","ID","[]","0eEtC2qqBc20Y6atz1N1kI",23,2914
"3531932","HEIZE","female","28","person","KR","['k-pop', 'korean pop', 'korean r&b']","5dCvSnVduaFleCnyy98JMo",60,1026073
"4507650","Nelly Furtado","female","41","person","CA","['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop dance', 'pop rap']","2jw70GZXlAI8QzWeY2bgRc",74,3214442
"2165980","Sarah West","female","32","person","DK","[]","2d6fU7pGHJDtMXbcX2fpvr",28,3698
"3690070","TGT","mixed","13","group","US","['pop r&b']","1lEXbUjKjHQ7uc9jFfEViJ",34,120460
"205682","Yaşar","male","41","person","TR","['turkish jazz', 'turkish pop']","50AOA3aPd6tc928KEYaljF",56,387198
"5270562","Preta Gil","female","45","person","BR","['axe', 'funk carioca', 'mpb']","1i2xi8v7H0aXgMNZcOaYzB",42,212435
"4679054","AMEE","male","34","person","ID","['v-pop']","2aQnC3DbZB9GbauvhAw7ve",52,784839
"2648414","Brooks & Dunn","mixed","32","group","US","['contemporary country', 'country', 'country road', 'country rock']","0XKOBt59crntr7HQXXO8Yz",69,2397269
"5991663","Ayben","female","37","person","TR","['turkish hip hop', 'turkish trap']","4B744cRUGT2IOu9Uuh7Ad7",42,255514
"638641","Frances","female","27","person","GB","['indie anthem-folk']","4m6VmvHDXWmVdIw6EJGQ86",49,74584
"4968660","Jare","male","32","person","FI","[]","1WX0u51YUQzFLt4tXCXFYi",14,268
"2651087","Alexandra Babitzin","female","39","person","FI","[]","5BXtVoFeZP1AncrfCAentq",12,12
"1832401","Kristian Kostov","male","20","person","RU","['eurovision']","1JjIKP5IOuEDXQVZsbUiB2",37,36747
"6282832","De La Soul","mixed","33","group","US","['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap']","1Z8ODXyhEBi3WynYw0Rya6",58,781229
